review_date,review_rating,review_content,useful_count,funny_count,cool_count,author,author_location,author_reviews_count,photo_count,friend_count,url,author_page
10/27/2017,4.0,"Most of the staff are very friendly and accommodating. The Ohio Ribeye was delicious and I should've paired it with the asparagus (as the server had recommended) because the bok choy just wasn't so great. When my server (Nancee) returned to ask how I liked everything and I said I wasn't a big fan of the bok choy, she quickly offered to replace it with the asparagus which was indeed much better and has a kick. Be sure to strike up a conversation with Mike in their Charcuterie -- not only is he a wealth of knowledge but he will excited they share it with you. He told me that their manual retro-looking meat slicer cost as much as his brand new Kia. The very sweet hostess let me choose a different table than where she had originally taken me with a can-do attitude while also accommodating my iPhone charging as it was down to 1%. Without hesitation or frustration she simply unplugged her company iPad at the hostess stand and charged my phone over the next 30 minutes or so (Only after first taking a lap around the restaurant to see if she could seat me near an outlet). Another server who'd just flipped around from having delivered someone's check, offered to walk me around (guide me) towards the restroom... Instead of just pointing like most people do today. There was only one exception to this but nearly all staff members delivered just the right balance of friendliness and professionalism. It's a beautiful place with great food - albeit "" steakhouse-pricey"" - and dependable service.",5,0,0,Steve D.,"Gaithersburg, MD",45,1,24,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=xGspXiibbKyAPCw5TWEh3Q
11/16/2017,3.0,"Urban Farmer is your stereotypical upper class bar and restaurant. On this visit, we went for drinks. The drinks were all extremely strong and lacked the extra oomph to make the strength enjoyable. With an Apple cider whiskey drink a little spice to round the drink out would have been nice to take the sharpness of the whiskey out. We also had their seasonal drink, a Cafe Cleveland, though it was altered to accommodate food allergies. Overall a fun drink to get with table-side fire and theatrics, the actual drink was a little lackluster. It tasted strongly on straight vodka with an almost burnt, bitter coffee follow up. Three stars goes for the fact the staff was accommodating and experimental with food allergies. This alone makes the restaurant worthwhile though their drinks need a little more finessing to compete with expanding craft cocktail market in Cleveland.As for food, they do use latex gloves in their preparation, so I was unable to try anything as they did not have a latex free option. Here's hoping they move to latex free in the future!",2,1,1,Kayla G.,"Cleveland, OH",23,18,30,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=raEdyz_mL8Gic4n3ZRFoGw
10/20/2017,1.0,"Well, i would have loved to tell everyone about the beautiful food and drink at Urban Farmer, except I never got any because our server never appeared.  Actually, that's not fair, he did appear, about six times, near our table and even made eye contact but never decided to stop by. I'm trying to decide if going back there is worth the price. One would think that to operate a restaurant that boasts such an impressive menu one would also have an equally impressive service staff.",3,0,0,Alyse F.,"Tampa, FL",2,0,185,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=ZhE9dMRuDpdkjFnnqJY6KQ
12/4/2017,5.0,My first time here and I visited for brunch. Our waitress was very knowledgeable about the menu and specific details about the items we had questions about. All the meals were exceptionally delicious and well worth the upscale prices. I like the decor that fit perfectly with the theme. They even gave us corn seed packets with our bill. Cute touch! Can't wait to come back and try some of the other menu items and check out the dinner menu!,1,0,0,Meredith W.,"Tremont, Cleveland, OH",78,44,203,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=jZeIY0sxS5J5vt-Tl6uzzw
10/20/2017,3.0,"I was staying at the Westin Cleveland Downtown hotel for a few days for work - the Urban Farmer is attached to the hotel.I had breakfast in here two mornings, plus dinner one evening, and cocktails a couple of times.The breakfasts were very good - and very expensive. The first breakfast was around $30+ dollars. The next morning, I ordered one that was less expensive - around $18 or so. The food was very good.One evening, I had a bowl of soup and then a burger, sans bun (low carb). The soup, I believe it was an Oxtail soup - was rather ordinary, it lacked richness, complexity, and seasoning. The burger was pretty good - served with add ons of bacon and avocado.Service was hit or miss. Service during breakfast was very good. At dinner - when my soup was served - it was brought out with no soup spoon or - silverware. I had to wait for a server to come by (not mine) and request a spoon. I was brought a spoon - that WAS NOT a soup spoon - and the spoon was dirty. I set it aside and waited - another waiter came by - and I showed him the spoon, asked if it was a soup spoon, it was not - he brought me a soup spoon and silverwear roll (napkin and eating utensils).One evening - our work completed for the week, we visited for cocktails. I ordered their version of a Manhattan - not a fan of their style. We also sampled the 14 year old Oban and 16 year old Lagavulin single malt scotch. We ordered most of our cocktails at the bar and brought them back to our table since our server was hard to find.#UrbanFarmer",2,0,0,Neal E.,"Haymarket, VA",4338,28629,1166,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=XYSDrIef7g4Gmp3lNFVO6A
9/11/2017,4.0,The everlasting search to experience great brunch spots around Cleveland ended up taking me here on an almost autumn Saturday morning. This is one of those places I've passed numerous times but just never came around to visiting. But this time I'm glad I did.  The brunch menu was quite extensive with multiple choices. Additionally the make your own mimosa bar was a nice touch as well. The champagne is brought to your table in a separate glass and you take your wine glass to the bar and add your choice of fruit/juices for your drink.This visit i ordered the French toast along with the chicken sausage. Both were very good and I recommend both options. Also i suggest asking for extra syrup on the side. Also I must give an honorable mention to the crispy breakfast potato. It was the perfect blend of crispness and flavor. Do yourself a favor and get one on the side!,2,0,0,Craighton Y.,"Cleveland, OH",71,103,67,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=McPdGlOf-Mv58CLMofj7HA
8/5/2017,5.0,"Just when we gave up hope of Cleveland having any decent restaurants we had our last dinner in town here and it was amazing. You can give Michael Symon's place a big old skip and come here instead if you want impressive service and even more impressive food.The restaurant is clean and the decor is a modern farm to table vibe. It's awesome. It's definitely on the spendy side but also totally worth it. We started with the cheese service which is wheeled over on a cart and we were given samples of each cheese we could choose from to build our cheese plate. With each sample we were given the region, the aging process, and the methods used on how the particular flavors were developed. It was a fun, informative, delicious experience. We then chose six cheeses to build our board. All of them were incredible. For dinner we all ordered steaks. These were all prime examples of what beef should be. The cook was absolutely perfect and the meat was delicious. So much better than the grease ball called ribeye you'd get at Lola's. Seriously, if you want good steak, come here. They list each cut of beef and then you can choose the weight, region, and type (corn fed, grass fed). It's phenomenal. The sides were all equally tasty and big enough to share with the table. The cocktails were also incredibly creative and delicious. I had a cocktail (ok, three) with pickled beet juice that were amazing.After all the let downs in Cleveland's dining scene, this place is a rockstar and competes with some of the best restaurants I've been to in the country. Go here. You won't be disappointed, especially if you're a carnivore.",6,0,4,Amanda K.,"Gainesville, FL",141,69,36,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=Z5j9Xw_G0c7M2b1-iS67wg
12/5/2017,5.0,"Best steakhouse in Cleveland. Highly recommend the New York Steak Tasting, in which you get 3 different 6oz. steaks (grass-fed, prime corn-fed and 21 day dry aged) Throw in the Waigu to complete the tasting for a few bucks more. It's fascinating how the same steak can taste SO different, and fun to share as a group and discuss favorites. Baked Mac n' Cheese and Creamed Spinach Gratin make nice shareable​ sides to go with the steaks. Sunday Brunch is a hit as well.",0,0,0,Moe B.,"Cleveland, OH",23,0,85,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=et2aBoZ50-LFuTPLc7-FZQ
11/15/2017,5.0,"Really love the atmosphere here. It's fun, servers are nice and food is always really great. Their biscuits are amazing here. They also had a really phenomenal Bloody Mary bar, something I can't wait to share with other people. The only things that I'm not a huge fan of is 1. They only really advertised their mimosa bar, nothing else from a drink perspective. 2. It was actually pretty chilly in the restaurant. I would have made sure guests were comfortable! Definitely will be back, they support a lot of local non profits, which matters a lot to me.",1,0,0,Daniel H.,"Cleveland, OH",77,48,294,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=guPzpFwYAMNpn8p66QmSbQ
"6/12/2017
            
                
    
        
    

                Updated review
            
    
            5/11/2015
            
                Previous review
            
        
            4/13/2015
            
                Previous review
            
        
            7/30/2014
            
                Previous review",3.0,"Urban Farmer is unique compared to other local steak houses as it serves meat from cows that have been been grass fed, corn fed then grain finished or completely corn fed. The steaks are not my favorite. I find even the corn fed steaks to be a bit tougher and drier than what other local steakhouses serve. To see for yourself though you can get a steak sampler and try side-by-side the various types of steaks. Steaks aside I do like the seasonal rotation of ingredients that find their way into the salads and sides. This keeps the sides interesting and updated frequently. I enjoyed the squash gratin. The dish contained thin sliced squash, just a little bit of cheese and a good serving of sausage mixed in.   The appetizer list is a bit limited when it comes to sharing a dish. My best recommendation would be the tartare. The tartare is served with a deviled egg and mixed with fennel and parmesan and is excellent. I'd say it is one of the things Urban Farmer is known for. If you are not a raw beef fan, the charcuterie or the cheese boards are good options. Some evenings there is a cheesemonger on duty that wheels around a cart with the night's selection of cheeses providing samples and information on the offerings whether or not you purchase a cheese board. For dessert I enjoyed the butterscotch sundae. Served in a jar, this dessert had a nice crunchy bottom layer (a blondie) and is topped with ice cream.Compared to other steakhouses I prefer Urban Farmer for it's appetizer and desserts. Since that isn't the main attraction at a steakhouse I was slightly disappointed. But not to worry, there are fish options on the menu as well. The cocktail menu is good as well. While a bit gin heavy, there are good options that the bartenders themselves have created.",1422,11,3,Ben S.,"Cleveland, OH",892,773,265,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=RylA6VZUTRuMGBu4nHKbCw
